image_file,verbatimDate,verbatimDate_confidence,verbatimLocality,verbatimLocality_confidence
1709018.jpeg,MISSING,1,MISSING,1
1709789.jpeg,22.5.1977,1,Svinø strand,1
1706390.jpeg,1.7.2000,1,Lodskovvad,1
1709042.jpeg,MISSING,1,MISSING,1
1707822.jpeg,MISSING,1,Ti,1
1707950.jpeg,6/1870,1,Dyrehaven,1
1728566.jpeg,MISSING,1,MISSING,1
1706758.jpeg,Juli 1930,1,Tisvilde,1
1744476.jpeg,MISSING,1,Øbjerggård,1
1709619.jpeg,22-9-36,1,Bovbj.,1
1743709.jpeg,MISSING,1,MISSING,1
1709202.jpeg,22.9.1996,1,Dyrehaven,1
1707214.jpeg,30-8-62,1,Dyrehaven,1
1709129.jpeg,25-9-1969,1,Turø Rev,1
1705468.jpeg,7/1870,1,Ørholm,1
1728453.jpeg,MISSING,1,Kb,1
1743561.jpeg,MISSING,1,Rye,1
1706175.jpeg,Juni 98,1,Hornbæk,1
1707716.jpeg,MISSING,1,Øbjerggård Lundby station,1
1728574.jpeg,MISSING,1,MISSING,1
1707996.jpeg,8/5.1870,1,Dyrehaven,1
1706016.jpeg,11.6.1950,1,Langå Jyll.,1
1728497.jpeg,20/6 97,1,Esbjerg,1
1709276.jpeg,MISSING,1,Kb,1
1710363.jpeg,26-8-1956,1,Nekselø S.,1
1706094.jpeg,MISSING,1,Dÿrehaven,1
1707961.jpeg,MISSING,1,Falster,1
1708663.jpeg,MISSING,1,MISSING,1
1706465.jpeg,6/1871,1,Jydske Aas Vendsyssel,1
1705986.jpeg,8-7-1951,1,Nivå,1
1706067.jpeg,17.6.22,1,Dyrehaven,1
1707816.jpeg,MISSING,1,Ti,1
1708013.jpeg,5.72,1,Odense,1
1742772.jpeg,6/1862,1,Ti | Kulhuset Jægerspris,1
1707546.jpeg,MISSING,1,MISSING,1
1706481.jpeg,MISSING,1,Al,1
1707429.jpeg,21/5 1899,1,Tisvilde Hegn,1
1709185.jpeg,3.IX.1985,1,NEJ: Tversted str.,1
1710346.jpeg,14.8.1952,1,N. f. Odense,1
1743921.jpeg,29. Juli 1964,1,Jylland Grejsdalen,1
1743553.jpeg,3/7.1872,1,Næstved,1
1705493.jpeg,MISSING,1,MISSING,1
1705416.jpeg,12.6.1919,1,Tistrup,1
1709989.jpeg,9-8-1973 | 9-8-1973 | 9-8-1973,1,Høvblege | Høvblege | Høvblege,1
1705903.jpeg,2/6 1929 | 2/6 29,1,Kirkeby Svendborg Amt | K,1
1709936.jpeg,MISSING,1,MISSING,1
1705867.jpeg,16-7-95,1,Egebæksvang,1
1707271.jpeg,17-VIII-1976,1,Krenkerup,1
1706815.jpeg,10/8 1968,1,Jylland Ringkøbing: Vedersø Klit,1
1743707.jpeg,MISSING,1,MISSING,1
